Loan,Date
"2,879,837.15",
"2,891,268.25",
"2,691,268.25",
2741822.65,30/08/2019
2760952.5,19/9/2019
2691884.55,20/09/2019
2702387.2,1/10/2019
2602387.2,1/10/2019
2608013.05,7/10/2019
2508013.05,7/10/2019
2535708.25,7/11/2019
2465708.25,7/11/2019
2524678.05,13/01/2020
2454678.05,13/01/2020
2478684.25,10/2/2020
2388684.25,10/2/2020
2428842.05,27/03/2020
"2,366,386.65",30/3/2020
2381245.3,17/04/2020
2281245.3,17/04/2020
2300786.6,11/5/2020
"2,200,786.60",11/5/2020
"2,219,218.80",4/6/2020
"2,099,218.80",4/6/2020
2102142.9,8/6/2020
"1,999,142.90",8/6/2020
"2,020,398.70",8/7/2020
"1,920,398.70",8/7/2020
"1,926,609.30",17/07/2020
"1,836,609.30",17/07/2020
"1,848,950.15",5/8/2020
"1,813,950.15",5/8/2020
"1,817,738.75",11/8/2020
"1,757,738.75",11/8/2020
"1,771,223.25",2/9/2020
"1,686,223.25", 02/09/2020
"1,686,223.25",2/9/2020
"1,566,223.25",2/9/2020
"1,581,052.75",29/09/2020
"1,582,193.00",1/10/2020
"1,482,193.00",1/10/2020
"1,484,329.00",5/10/2020
"1,394,329.00",5/10/2020
"1,406,489.30",30/10/2020
"1,386,489.30",30/10/2020
"1,389,392.00",5/11/2020
"1,239,392.00",5/11/2020
"1,250,723.00",1/12/2020
"1,220,723.30",1/12/2020
"1,223,802.15",8/12/2020
"1,153,802.15",8/12/2020
"1,165,084.80",5/1/2020
"1,115,084.80",5/1/2020
"1,127,165.15",5/2/2020
"1,062,165.15",5/2/2020
"1,071,627.80",2/3/2021
"1,026,627.80",2/3/2021
"1,027,817.00",5/3/2021
"927,817.00",5/3/2021
"939,545.65", 8/04/2021
"869,545.65",8/4/2021
"876,434.95",30/04/2021
"851,434.95",30/04/2021
"855,116.90",12/5/2021
"830,116.90",12/5/2021
"834,862.70",28/05/2021
"822,862.70",28/05/2021
"823,724.45",31/05/2021
"793,724.45",31/05/2021
"798,429.55",17/06/2021
"723,429.55",17/06/2021
"726,743.85",30/06/2021
"691,743.85",30/06/2021
"691,993.20",1/7/2021
"581,993.20",1/7/2021
"589,938.45",9/8/2021
"489,939.45",9/8/2021
"494,038.95",2/9/2021
"429,038.95",2/9/2021
"429,188.40",3/9/2021
"399,188.40",3/9/2021
"402,826.70",29/09/2021
"387,826.70",29/09/2021
"388,525.85",4/10/2021
"288,525.85",4/10/2021
"288,733.30",6/10/2021
"188,733.30",6/10/2021
